team_num,reading_type,time_diff,date_time,lat,lon,sea_temp,air_temp
7,ship,A,08/26/2001 A,31.3,-14,25.5,24.4
7,ship,A,08/27/2001 A,29.3,-15,24.6,22.8
7,ship,0,08/27/2001 12:00:00,25.5,-16,23.6,24.8
7,ship,A,08/28/2001 A,19.5,-17,27.9,23.9
7,ship,0,08/28/2001 12:00:00,17.5,-17,28.1,28.7
7,ship,A,08/29/2001 A,13.3,-17,29.4,27.2
7,ship,0,08/29/2001 12:00:00,9.6,-16,28,29.1
7,ship,0,08/30/2001 12:00:00,2.9,-11,26.7,25.4
7,ship,A,08/30/2001 A,1.3,-10,25.7,23.7
7,ship,A,08/31/2001 A,-0.1,-9,23.4,22.1
7,ship,0,08/31/2001 12:00:00,-3.4,-7,23,23
7,ship,A,09/01/2001 A,-6.6,-5,24.1,22.4
7,ship,A,10/13/2001 A,-17.3,6,NA,23
7,ship,A,12/18/2001 A,-4.6,10,NA,27
7,ship,A,12/19/2001 A,-3.1,8,NA,28
7,ship,A,12/20/2001 A,-1.4,4,NA,28
7,ship,A,12/21/2001 A,1.8,2,NA,28
7,ship,0,03/17/2002 12:00:00,-16,10,26.6,25.1
7,ship,A,03/17/2002 A,-15.1,8,26.4,26.1
7,ship,A,03/18/2002 A,-12.9,5,26,24
7,ship,0,03/18/2002 12:00:00,-11.6,3,26.3,24
7,ship,A,03/30/2002 A,-22.9,10,26.5,25.5
7,ship,A,03/31/2002 A,-21.7,9,26.5,25
7,ship,0,03/31/2002 12:00:00,-19.3,5,25.8,24
7,ship,A,04/01/2002 A,-16.9,3,25.5,24.3
7,ship,A,04/17/2002 A,-5.2,6,8.3,7.8
7,ship,A,04/30/2002 A,-15.5,9,27,26.5
7,ship,A,05/01/2002 A,-13.9,6,25.5,24.7
7,ship,0,05/01/2002 12:00:00,-13.1,5,26.5,24.5
7,ship,A,05/02/2002 A,-10.8,2,26,25.5
7,ship,A,05/25/2002 A,-18.8,10,26.1,24.8
7,ship,A,05/26/2002 A,-15.3,2,25.1,22.8
7,ship,A,05/27/2002 A,-10.4,1,26.8,24.8
7,ship,A,06/06/2002 A,-19,10,25.8,25
7,ship,A,06/07/2002 A,-18,9,25.6,22.6
7,ship,0,06/07/2002 12:00:00,-16,7,25.3,23.6
7,ship,A,06/08/2002 A,-14,5,25.7,24.3
7,ship,0,06/08/2002 12:00:00,-11.9,3,25.8,24.3
7,ship,A,06/09/2002 A,-9.8,1,26.7,25.4
7,ship,A,08/26/2002 A,4,10,28.3,25.4
7,ship,0,08/26/2002 12:00:00,2.1,7,25.3,23.1
7,ship,A,08/27/2002 A,0.2,4,23.7,22.8
7,ship,0,08/27/2002 12:00:00,-1.7,1,22.9,27.1
7,ship,0,10/21/2002 12:00:00,4,2,27.8,25.4
7,ship,A,12/30/2002 A,3.1,3,27.9,27.3
7,ship,A,12/31/2002 A,1.1,1,26.8,25.5
7,ship,A,03/04/2003 A,-0.4,2,25.3,26
7,ship,0,03/04/2003 12:00:00,-1.7,6,25.3,25.5
7,ship,A,03/05/2003 A,-3,9,27.2,29.8
7,ship,A,04/13/2003 A,-19.2,10,27.3,22.3
7,ship,A,04/14/2003 A,-16.2,7,27.1,25.1
7,ship,A,04/15/2003 A,-11.8,3,26.6,25
7,ship,0,04/15/2003 12:00:00,-9.6,1,27.2,25.5
7,ship,A,04/22/2003 A,4.6,6,29.1,27.2
7,ship,100,04/22/2003 13:00:00,3.5,3,29.4,27.3
7,ship,A,04/23/2003 A,0,2,25.4,24.8
7,ship,A,06/21/2003 A,-19.8,9,25.6,24.1
